2013-10-10 12:06:41,543 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:42410 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:42410@60000
2013-10-10 12:47:56,470 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7e973f09: startup date [Thu Oct 10 12:47:56 CST 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2013-10-10 12:47:57,329 | INFO  | PListStore:[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2013-10-10 12:47:57,355 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2013-10-10 12:47:57,680 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-10 12:47:57,699 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-10 12:47:57,703 | INFO  | Recovery replayed 9 operations from the journal in 0.012 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-10 12:47:57,869 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-43536-1381380477726-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-10-10 12:47:57,937 | INFO  | Listening for connections at: tcp://sdf-PC:60000?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-10 12:47:57,938 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-10-10 12:47:57,946 | INFO  | Listening for connections at: amqp://sdf-PC:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-10 12:47:57,947 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-10-10 12:47:57,949 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-43536-1381380477726-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-10-10 12:47:57,950 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2013-10-10 12:47:58,382 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2013-10-10 12:47:58,514 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2013-10-10 12:47:58,578 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2013-10-10 12:47:58,799 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2013-10-10 21:50:34,015 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7e973f09: startup date [Thu Oct 10 21:50:34 CST 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2013-10-10 21:50:34,978 | INFO  | PListStore:[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2013-10-10 21:50:35,002 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2013-10-10 21:50:35,308 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-10 21:50:35,328 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-10 21:50:35,332 | INFO  | Recovery replayed 10 operations from the journal in 0.013 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-10 21:50:35,503 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-8756-1381413035351-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-10-10 21:50:35,597 | INFO  | Listening for connections at: tcp://sdf-PC:60000?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-10 21:50:35,598 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-10-10 21:50:35,603 | INFO  | Listening for connections at: amqp://sdf-PC:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-10 21:50:35,604 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-10-10 21:50:35,605 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-8756-1381413035351-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-10-10 21:50:35,605 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2013-10-10 21:50:36,075 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2013-10-10 21:50:36,198 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2013-10-10 21:50:36,270 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
