"TIMET","MSDT","MACHINE","CPUBUSY","IDLE","WAITIO","MEMTOTAL","MEMUSED","MEMFREE"
1324911600,"12/26/2011  10:00:00","host0",1,98.9,0.1,32909536,21203109.6,11706426.4
1324915200,"12/26/2011  11:00:00","host0",1,98.9,0.1,32909536,21244358.8,11665177.2
1324918800,"12/26/2011  12:00:00","host0",1,98.9,0.1,32909536,21297682.4,11611853.6
1324922400,"12/26/2011  13:00:00","host0",1,98.9,0.1,32909536,21300914.8,11608621.2
1324926000,"12/26/2011  14:00:00","host0",1,98.9,0.1,32909536,21303562.3,11605973.7
1324929600,"12/26/2011  15:00:00","host0",1,98.9,0.1,32909536,21291951.1,11617584.9
1324933200,"12/26/2011  16:00:00","host0",1,98.9,0.1,32909536,21292608.4,11616927.6
1324936800,"12/26/2011  17:00:00","host0",1,98.9,0.1,32909536,21295743.1,11613792.9
1324940400,"12/26/2011  18:00:00","host0",1,98.9,0.1,32909536,21300673.1,11608862.9
1324944000,"12/26/2011  19:00:00","host0",0.9,99,0.1,32909536,21304423.1,11605112.9
1324947600,"12/26/2011  20:00:00","host0",0.9,99,0.1,32909536,21305511.6,11604024.4
1324951200,"12/26/2011  21:00:00","host0",0.9,99,0.1,32909536,21307383.5,11602152.5
1324954800,"12/26/2011  22:00:00","host0",0.9,99,0.1,32909536,21311745.3,11597790.7
1324958400,"12/26/2011  23:00:00","host0",0.9,99,0.1,32909536,21313949.2,11595586.8
1324962000,"12/27/2011   0:00:00","host0",1,98.9,0.1,32909536,21307016.9,11602519.1
1324965600,"12/27/2011   1:00:00","host0",1.1,98.8,0.1,32909536,21277876.1,11631659.9
1324969200,"12/27/2011   2:00:00","host0",1.5,98.3,0.2,32909536,21298883.1,11610652.9
1324972800,"12/27/2011   3:00:00","host0",1.1,98.8,0.1,32909536,21225825.6,11683710.4
1324976400,"12/27/2011   4:00:00","host0",1.4,98.5,0.1,32909536,21414957.3,11494578.7
1324980000,"12/27/2011   5:00:00","host0",1,98.9,0.1,32909536,21503718,11405818
1324983600,"12/27/2011   6:00:00","host0",1,98.9,0.1,32909536,21492070.8,11417465.2
1324987200,"12/27/2011   7:00:00","host0",1,98.9,0.1,32909536,21507816.9,11401719.1
1324990800,"12/27/2011   8:00:00","host0",1,98.9,0.1,32909536,21315900.7,11593635.3
1324994400,"12/27/2011   9:00:00","host0",0.9,99,0.1,32909536,21203572.8,11705963.2
1324998000,"12/27/2011  10:00:00","host0",1,98.9,0.1,32909536,21209117.7,11700418.3
1325001600,"12/27/2011  11:00:00","host0",1,98.9,0.1,32909536,21251308.3,11658227.7
1325005200,"12/27/2011  12:00:00","host0",1,98.9,0.1,32909536,21304190.7,11605345.3
1325008800,"12/27/2011  13:00:00","host0",1,99,0.1,32909536,21307310,11602226
1325012400,"12/27/2011  14:00:00","host0",1,98.9,0.1,32909536,21309286,11600250
1325016000,"12/27/2011  15:00:00","host0",1,98.9,0.1,32909536,21311012.1,11598523.9
1325019600,"12/27/2011  16:00:00","host0",1,98.9,0.1,32909536,21314837.6,11594698.4
1325023200,"12/27/2011  17:00:00","host0",1,98.9,0.1,32909536,21318574.1,11590961.9
1325026800,"12/27/2011  18:00:00","host0",1,98.9,0.1,32909536,21360789.3,11548746.7
1325030400,"12/27/2011  19:00:00","host0",1,98.9,0.1,32909536,21367135.1,11542400.9
1325034000,"12/27/2011  20:00:00","host0",1,98.9,0.1,32909536,21367904.3,11541631.7
1325037600,"12/27/2011  21:00:00","host0",1,98.9,0.1,32909536,21388035.3,11521500.7
1325041200,"12/27/2011  22:00:00","host0",1,98.9,0.1,32909536,21411837.5,11497698.5
1325044800,"12/27/2011  23:00:00","host0",1,98.9,0.1,32909536,21420168.9,11489367.1
1325048400,"12/28/2011   0:00:00","host0",1,98.9,0.1,32909536,21417018.1,11492517.9
1325052000,"12/28/2011   1:00:00","host0",1.1,98.8,0.1,32909536,21374500.1,11535035.9
